actual,predicted,test_id,text
depression,adhd,91,why being high-functioning sucks ass
none,adhd,98,curious about phone calls habits
anxiety,adhd,104,"""hiding"" from work? need advice before career implodes"
depression,anxiety,105,my marriage evaporated in an instant
bipolar,depression,106,dbt day one - radical acceptance and healthy distraction
none,ptsd,107,"found something interesting, dunno if it has been discovered yet."
adhd,bipolar,111,psa: for people in the us
ptsd,bipolar,112,i feel like my life is a very dark game of thrones episode
bipolar,none,113,rollercoaster year
ptsd,bipolar,114,no one will give me my meds
anxiety,depression,116,is it 'selfish' to not want to celebrate birthdays and holidays
adhd,bipolar,118,stuck in a shitty cycle of motivation and depression
adhd,anxiety,119,just graduated high school yesterday!
ptsd,anxiety,120,cbd oil feels like a miracle
none,depression,121,fuck your mother fucking ivory towers
depression,bipolar,126,"does anyone else find it difficult to keep up with personal hygiene (brushing teeth, showering, shaving, etc) when in a depressive episode?"
ptsd,bipolar,128,am i even human?
adhd,anxiety,129,interview for dream job in one hour. wish me luck!
anxiety,adhd,133,i got an internship!
ptsd,anxiety,138,"are you afraid to ""feel too much,"" even positive emotions?"
anxiety,depression,141,i went to a diner to eat breakfast by myself this morning
anxiety,depression,151,ever feel guilty because others probably have it worse than you?
ptsd,depression,154,i don’t know if anyone cares but my dad died 5 years ago today.
ptsd,anxiety,155,i'm not afraid. i don't feel anything.
bipolar,anxiety,158,does anyone else have the most awful time choosing words wisely during conversation?
bipolar,adhd,161,have you ever had trouble with perception of time?
adhd,none,163,eureka!! diesel engines are my jam!!!!!
ptsd,anxiety,164,i’m completely freaking out.
bipolar,anxiety,172,just let me enjoy the damn weather!
ptsd,bipolar,174,trigger warning re unpopular opinion post
bipolar,ptsd,180,i need people who relate
depression,anxiety,181,so sick of hearing “you need to go out” and “put in some effort”
depression,ptsd,184,i don't even have the energy to fight back anymore.
anxiety,bipolar,188,kid cudi checks himself into rehab
ptsd,bipolar,189,i’m so so proud of my friend but i don’t have anyone to gush to about it. there is always hope
adhd,depression,191,my boyfriend asked me if i ever just think about stuff.
anxiety,ptsd,194,should i be worried? nsfw
ptsd,bipolar,196,i can’t believe i lost her.....
adhd,depression,200,anyone feel scared to get back into hobbies after you abandoned them?
anxiety,ptsd,201,i'm proud of myself being rejected
bipolar,depression,203,"my big sis tried to console me by saying, ""stop being so sad."" she means the sincerest, kindest sentiment, so i don't fault her for it. but it breaks my heart that i don't think i can ever do that for her outside of hiding ""the sadness."""
bipolar,depression,205,i went on a date!
depression,adhd,210,i feel like a sim
bipolar,anxiety,211,just sharing my recent talk with my doctor
ptsd,depression,217,anyone feel shame when opening up to friends?
bipolar,ptsd,220,mixed episodes suck
anxiety,depression,222,does anybody have this same weird problem after waking up around 3-4 am?
anxiety,ptsd,228,"been agoraphobic and nearly housebound for about a year. tonight went out, &amp; actually had some fun!"
anxiety,depression,229,i just wanna tell you guys thank you.
ptsd,none,231,tv shows?
adhd,depression,232,does curiosity kill you guys?
bipolar,ptsd,234,keep getting impulsive rapid thoughts when i'm alone. (nsfw)
ptsd,depression,237,"what being ""numb"" feels like to me."
ptsd,adhd,239,have any of you gotten too attached to the first person who treated you well after your diagnosis?
adhd,anxiety,247,only you would appreciate this
anxiety,bipolar,252,can someone make me (21f) feel better? i feel humiliated :(
ptsd,bipolar,253,in what ways have you invested in your mental health?
bipolar,anxiety,257,thank you all for caring last night. i’m alive and i’m safe.
bipolar,anxiety,267,flamed out of my white collar jobs? looking at working as a dishwasher now. this happen to anyone else?
depression,anxiety,269,i'm so useless and do nothing all day.
depression,anxiety,271,does anyone else find comfort in listening to music?
adhd,bipolar,272,i did my taxes!
adhd,bipolar,280,bad focus days: how do you cope?
depression,bipolar,293,holy fuck this is one shitty birthday
ptsd,adhd,294,my short term memory
bipolar,none,295,"louisiana flood victim, and i'm episodic"
bipolar,ptsd,297,bdsm: first steps back since being diagnosed. (nsfw per content)
depression,bipolar,302,"six months, yet i mourn no less..."
ptsd,anxiety,304,the blows quit hurting.
ptsd,bipolar,305,memory issues
adhd,ptsd,307,newly diagnosed? rewatch ms. doubtfire .
anxiety,depression,308,"i say ""i'm sorry"" too much"
ptsd,anxiety,311,my current so drinks (not excessively). i can't stop hating alcohol and thinking poorly of people who drink it.
adhd,anxiety,312,annoyed at literally everything
depression,adhd,318,positive or bubbly people annoy me.
bipolar,anxiety,320,i did it! passed my exam.
bipolar,anxiety,324,thinking you are “all better now” on an up cycle is lying to yourself
bipolar,adhd,329,do you notice patterns?
depression,anxiety,333,"you ever laugh and think ""wow i haven't felt that in so long"""
adhd,depression,335,"i wrote a loooong comment in reply to someone asking why ww give children 'drugs', and his comment got removed. i still have to let this off my chest, so i'm leaving it here."
anxiety,adhd,336,guys... i just did two things i never thought i'd do in a hundred years.
anxiety,none,337,the media is profiting off people like us
ptsd,anxiety,341,how do you guys calm down after a panic attack
ptsd,anxiety,342,scared of having exposed skin.
depression,adhd,348,it took me a long time to become active on reddit because i thought no one would like me or the things i had to say.
anxiety,adhd,349,"it took years, and many attempts, but medication completely changed my life. please consider talking to your doctor if you haven't already."
adhd,bipolar,351,medication guilt: an honest conversation
bipolar,ptsd,352,"my mind races but the body, it won't get off the couch"
bipolar,depression,355,yesterday my ex started harassing me and then a friend choked me
bipolar,ptsd,357,on feeling broken and undeserving of romantic love
ptsd,adhd,358,who ever posted about the weighted blankets... thank you!!!
none,bipolar,360,trying to find a new intuition for derivarive
anxiety,adhd,361,"i like being with one person. i'm friendly, smiling, having good conversation. all of that is gone when there are multiple people."
ptsd,bipolar,362,my emotional support dog is dead
ptsd,anxiety,373,someone please help me calm down.
bipolar,depression,377,my new cat
bipolar,anxiety,379,being attracted to your therapist is weird
ptsd,depression,380,a guy who assaulted me five months ago kissed me last night
depression,anxiety,381,today was the day that made all of my bad days worth it.
adhd,anxiety,383,why is scrapping everything and starting over such an uncontrollable urge?
depression,anxiety,390,i just asked my crush to a night out. currently awaiting a response.
anxiety,adhd,392,"after seven years in college, i graduated yesterday!"
bipolar,adhd,393,lpt you can request to be switched to a different generic at your pharmacy (us)
bipolar,depression,395,i finally received help.
anxiety,depression,400,i did it guys!!
adhd,anxiety,402,not wanting to be a problem sometimes makes things worse.
ptsd,anxiety,404,"i did everything right, and it didn't matter"
adhd,anxiety,405,lmao i just remembered why i don't ask question in class anymore
depression,adhd,406,i get near suicidal just from having my period
adhd,bipolar,410,the cough drop sign
adhd,ptsd,415,i wish i could sleep so bad it makes me want to cry
depression,bipolar,419,i'm applying for a job
bipolar,anxiety,422,i cleaned my kitchen counters off!
ptsd,anxiety,424,you know what i hate???
anxiety,ptsd,427,i did it
bipolar,adhd,428,my meds work well: a story in how i can’t stay up late any longer.
ptsd,adhd,433,i use cheap bluetooth led lights to help regulate sleep. it is amazing.
bipolar,depression,434,i really need bernie to win
bipolar,adhd,436,what are you good at?
anxiety,depression,437,can someone wish me a happy birthday?
none,ptsd,441,are you cold?
ptsd,none,443,eternal sunshine. (discussion)
depression,anxiety,445,"i always type out comments on how relate to someone and their situation, only to delete them and keep it to myself."
bipolar,anxiety,447,finally put a couple good days together - this sub has really helped
ptsd,bipolar,448,[tw: suicide] a week in the psych ward. anyone else here spend time in one?
anxiety,bipolar,449,i'm finally ready to change. i can't live like this.
none,depression,453,i’m lowkey in shock
none,ptsd,456,"sexual assaults against women are increasing because we only see women only as sister or mother or wife, never as an individual with her own identity."
anxiety,adhd,458,2020 has destroyed my progress and it sucks.
none,adhd,464,"does this sentence make sense to you? ""you should have had cleaned the room before your visitors arrived."""
none,bipolar,466,system of a down
bipolar,ptsd,469,do you guys get nightmares?
anxiety,bipolar,471,i asked to change the tv at the doctors
anxiety,adhd,475,just completed a task i've been avoiding for months!
adhd,none,486,"me: ok brain, what is stressing us out the most right now? brain: xmdjfjrkdkxkemailingourmanagerdnekxkcjsnxnx. me: ok that’s first."
bipolar,depression,490,it's my 31st birthday
depression,ptsd,499,a stranger just saved my life...
ptsd,anxiety,502,great dane therapy dog nearly cures fiancé’s panic attacks
adhd,anxiety,503,tonight i got ready for tomorrow morning
bipolar,depression,507,does anyone get in depressions so low that you feel like you are practically evil from all the guilt and stuff that you feel?
adhd,anxiety,510,small win made my boss smile
adhd,bipolar,511,"i know that the future is coming, but i don't believe it."
bipolar,adhd,517,stupidly didn't take my meds for 2 days and am paying for it.
anxiety,depression,526,is anyone else tired of being tired?
ptsd,anxiety,527,just bought another weighted blanket-just wanted to share the deal i found.
none,adhd,528,"whats a nicer way to say ""you shouldnt worry about my marks, just focus on your own"""
depression,bipolar,534,"am i alone in thinking that there are a lot of creepy, unethical, and just plain weird therapists out there?"
depression,bipolar,535,so depressed i'm... actually happy?
adhd,anxiety,537,do not rely on willpower
adhd,depression,542,when the sun goes down i become the person i want to be.
ptsd,anxiety,543,i cry whenever we raise our voice at our daughter
ptsd,anxiety,544,has anyone else tried a weighted blanket to help them sleep?
anxiety,ptsd,545,"i have this paranoia that everyone finds me weird, creepy, and text each other about me behind my back."
anxiety,bipolar,549,anyone else feel like their not actually living in reality sometimes?
anxiety,depression,551,does anyone else just sit there before work starts..
depression,anxiety,560,i got outside and walked around for a few hours for my birthday. i feel good today.
depression,adhd,561,"whatever you do, please don't ignore me."
ptsd,adhd,565,do you internalize everything or take it out on others?
depression,adhd,566,got an email from the college i applied to that i was accepted and told my parents. only for me to get a second email a few minutes later saying that email was a mistake and i didn't get in.
bipolar,ptsd,569,recently diagnosed and having trouble wrapping my head around it.
anxiety,depression,576,anyone else afraid to try new hobbies and actually get a life?
bipolar,depression,577,do you ever want to go to the hospital just to hide from life?
depression,adhd,581,i suck i suck
anxiety,bipolar,589,i feel so at peace
bipolar,anxiety,594,i'm so sick of being alone.
depression,bipolar,596,anyone get annoyed by the people that 'advocate' talking about mental health but never practice what they preach?
bipolar,anxiety,601,im ready!!
ptsd,bipolar,603,this is embarrassing (long)
adhd,depression,607,""" if you cared than you wouldn't have forgot """
anxiety,bipolar,608,just a thank you to a kind stranger
bipolar,depression,609,fuck this shit.
ptsd,depression,614,"0730hrs, ive finally drank and smoked the ""voices"" away."
anxiety,depression,620,dear you
adhd,anxiety,622,"i showered and dressed within 10 minutes, it used to take an hour"
depression,adhd,627,"i took out the trash, did some laundry, and cleaned part of my room this morning."
depression,anxiety,639,what i wish someone would send to me
ptsd,anxiety,640,i often can’t sleep when my husband is home without a sleep aid. i wonder if i’m not really past a fear of men.
ptsd,bipolar,641,how do i support my girlfriend better?
depression,anxiety,642,does anybody feel like they were born too weak and sensitive for this world?
bipolar,depression,643,i want attention so bad
none,bipolar,645,"""hurt"" by johnny cash"
depression,anxiety,647,anyone else sick and tired of socialising ? and it being thrown back in your face ?
ptsd,bipolar,649,i got a phone call today and im getting a call to sort out a counsellor
bipolar,ptsd,651,"craving alcohol, please tell me no"
ptsd,anxiety,652,just stopped myself from going into a full blown panic attack and he didn’t even notice.
depression,ptsd,655,why is everything so fucking hard
depression,bipolar,660,intelligence and depression
ptsd,bipolar,663,animals
depression,adhd,665,am i the only one who gets attatched too easily and hates it?
ptsd,depression,668,"i participated in two wars before i turned 21, but that's not why i'm here."
bipolar,ptsd,669,how can i rebuild my life after mental health?
bipolar,ptsd,670,how much benefit do you get from having an animal? i'm considering a therapy dog.
bipolar,depression,677,i feel like i ruined my life before it even began. anyone relate? advice?
bipolar,adhd,678,this is a half life psa for when you're explaining drugs to people
adhd,bipolar,680,vent about being a woman and not being diagnosed d:&lt;
ptsd,adhd,682,"when the ""employee rights"" mandatory meeting is what triggered my fucking asshole brain"
bipolar,adhd,686,til bp rapid cycling might be affected by moon phases. i feel like a warewolf!
anxiety,bipolar,688,back to work after 10 months off
depression,anxiety,689,dae feel worse because they don't make money/have a job?
none,bipolar,693,how to reply to “mood”?
anxiety,depression,694,"what's the point of living if you know you will have to become a ""work slave"" 9 to 5, 5 days a week for all eternity. how do i ""counter"" this thought?"
bipolar,anxiety,699,please respond and help me
bipolar,depression,700,forfeited all my attendance points today.
depression,anxiety,702,i feel like a plastic cup
bipolar,adhd,705,"small victory, starting to understand how i function"
depression,bipolar,710,i've called five different therapists now and none of them are accepting new patients
ptsd,bipolar,714,i slept great! (first time in a while)
ptsd,anxiety,717,does anyone get super overwhelmed over small things?
anxiety,bipolar,722,"got a dental cleaning for the first time in years, just wanted to share"
anxiety,bipolar,723,life update.
bipolar,depression,725,my oldest brother was found dead a week ago.
depression,anxiety,726,ever just feel like randomly crying?
adhd,bipolar,729,got my prescription filled
bipolar,ptsd,736,i slipped
ptsd,anxiety,740,you know what i hate the most?
adhd,depression,745,why can't i just do shit
ptsd,depression,747,finally went to therapy after 13 difficult years
depression,anxiety,752,"when i have nothing to do, i get bored. when i have stuff to do, i get tired. when i'm alone, i get lonely. when i'm around other people, i get nervous and self-conscious."
depression,anxiety,756,does anybody else hate positive and motivational talks?
adhd,anxiety,761,what learned helplessness is like
depression,bipolar,766,do you guys question wether or not your actually depressed?
anxiety,ptsd,774,please stay off the news
ptsd,anxiety,776,does anyone else get persistent tremors at rest?
adhd,ptsd,782,do you find it physically hard to focus sometimes?
ptsd,anxiety,785,"it's that time of night again! the ""afraid to sleep"" time, where i'm unwillingly up until all hours..."
adhd,ptsd,792,help with teeth?
adhd,ptsd,793,terrifying
adhd,ptsd,797,"*has one good day, or one good functional area in my life* “wow i must be faking this and maybe i don‘t have a problem after all!” *life falls apart the next day*"
bipolar,anxiety,801,"i cried today, but out of appreciation."
ptsd,bipolar,805,just want to celebrate
depression,anxiety,811,i can go an entire day without talking to another human being.
bipolar,ptsd,813,i had ect and it changed my life
depression,adhd,823,failed 2 classes. now i’m on academic suspension.
none,bipolar,824,trouble hearing words in a song
none,adhd,826,directional derivatives
bipolar,adhd,828,i feel so attached
ptsd,depression,829,fuck it all.
ptsd,bipolar,830,i am really struggling to cope and i don't know what to do anymore
bipolar,ptsd,835,"i'm in a rough patch, and it really hurts."
bipolar,ptsd,837,not feeling after witnessing an attempted suicide
ptsd,anxiety,839,does anyone else feel like they don’t deserve physical affection/ gentle touch?
adhd,none,841,"i highly recommend mark manson's new book ""the subtle art of not giving a f***,"" it's been my most valuable resource of the past week."
ptsd,depression,842,how can i accept the fact that nobody cares about me?
ptsd,bipolar,843,i finally decided to live.
ptsd,anxiety,850,pretty extreme anxiety lately.
ptsd,depression,852,does anyone else have phases of absolute isolation and rejection?
none,bipolar,854,you can help my mother.
bipolar,adhd,856,"forgetting how to speak correctly, or at all."
adhd,ptsd,861,waiting for people to stop talking.
depression,anxiety,871,i think i am too afraid of death to kill myself
ptsd,anxiety,872,little bit of text spoke to me tonight.
anxiety,bipolar,881,i'm so proud of myself
anxiety,ptsd,886,depersonalization/dissociating?
adhd,ptsd,901,oh boy am i angry
anxiety,depression,902,"does anyone else find suicide comforting in the, “well, if it gets worse i can always kill myself” kind of way?"
anxiety,ptsd,905,motivational speakers: do they upset anyone else?
bipolar,anxiety,906,trying to resist the urge to empty my bank account and fly off to a different country
adhd,bipolar,908,i've lost my doormat.
adhd,depression,914,psa (usa): don't take the last week as a baseline for your self-esteem in dealing with life
bipolar,none,916,first try at spoken word writing...
anxiety,depression,917,"just lurking here helps me a lot, thank you."
ptsd,bipolar,919,i just want to thank you all
bipolar,depression,932,so so so sick of waking up every day wanting it to end.
ptsd,bipolar,939,is this normal?
ptsd,bipolar,944,almost fifteen years later and i'm okay (positive but some tw)
depression,adhd,945,"why can't people understand i'm not just being lazy, i just feel unable to move"
ptsd,bipolar,947,is this behavior normal?
anxiety,none,952,"succes! i passed my english class, the first thing i've completed in 7 years!"
ptsd,anxiety,955,dae have really bad disassociation after panic attacks.
adhd,ptsd,956,inability to focus whilst having sex?
none,bipolar,961,pop
bipolar,depression,962,wife gave me divorce papers tonight. i'm completely heartbroken.
none,adhd,963,a little (maybe useless) tool i've just made
bipolar,depression,965,i think going through years of therapy has ruined my ability to fantasize
anxiety,bipolar,971,i bury my best friend tomorrow. i bumped into my ex with another guy. i can't deal with this. i feel sick.
ptsd,bipolar,979,binge eating
depression,anxiety,981,time is rude and shows no liking of me
depression,none,985,the death of etika just shows how much of a joke people take mental illness
depression,anxiety,999,does anyone else feel worse after having a good time?
depression,ptsd,1000,hi
bipolar,anxiety,1001,how many of you sleep irregular hours (essentially because it is out of your control)?
bipolar,adhd,1006,i’ve noticed spring/summers on this sub bring out some nastiness
anxiety,adhd,1008,my phd study is finally over
depression,bipolar,1013,i adopted a kitten on thursday and...
depression,anxiety,1014,yes i can do it
none,depression,1015,my relatives visited me. and i live with my girlfriend unbeknownst to them. and they lost their shit. and it was a thing of beauty. (re-posting because violated some rules earlier)
bipolar,anxiety,1020,anyone else find it hard to brush their teeth?
anxiety,adhd,1022,i'm so tired of people and human interaction
anxiety,bipolar,1024,i finally sought help and it did not go well.
none,ptsd,1025,185
depression,bipolar,1028,i want to be okay with being single forever.
adhd,anxiety,1035,go downstairs to get water...
depression,anxiety,1038,why do parents care more about school work than your mental state?
ptsd,anxiety,1042,"is pressure to ""recover"" making you worse ?"
ptsd,depression,1043,anyone else live an almost entirely solitary life?
none,ptsd,1045,i think dick cheney has secured himself as the worst vice president in history based on his defense of torture and utter refusal to recognize his own lies about it and as both ethically and practically dangerous
bipolar,ptsd,1047,sharing because this is what kept me out of the hospital recently
bipolar,adhd,1048,i feel “dumb” from my meds
adhd,ptsd,1052,i don’t know talking is hard
anxiety,depression,1060,1 year on antidepressants
bipolar,ptsd,1061,how many times do we deserve to ask for help?
ptsd,anxiety,1064,fuck you to whoever robbed me at gunpoint when i was 12
anxiety,depression,1066,i asked a girl out today
depression,anxiety,1068,"two days ago i was feeling amazing, the best i ever have and now i am miserable and want to die. wtf brain."
bipolar,depression,1071,tfw you go to work sick so you can save your sick days for depression
ptsd,anxiety,1072,"my father is going into critical condition and i had to say the most difficult thing in my life, to respect his wishes and not do cpr. he's in bad shape and it would only likely give him a few more hours. my anxiety is killing me right now making it hard to travel."
anxiety,depression,1073,"does anybody else convince themselves that their own opinion doesn’t matter? so, they just don’t say anything at all anymore or participate in conversations"
adhd,anxiety,1074,i've finally found a manager who gets it. i'm trying not to cry.
bipolar,anxiety,1075,just got fired.
ptsd,bipolar,1079,how do you stop being angry?
anxiety,none,1080,i presented today!!!
depression,anxiety,1082,i raised my hand and spoke up in class.
none,depression,1083,police harassed me for just sitting in car with my girlfriend
depression,anxiety,1088,you guys ever feel like self loathing is addicting
anxiety,ptsd,1093,my 5 year journey of agoraphobia
bipolar,depression,1094,all i want to do is sleep
bipolar,anxiety,1098,"""1) nothing makes you happy/all you do is complain/2) everytime we talk, there's conflict, so i'm anxious whenever we speak/ 3) every time you talk, you complain."" i'm afraid of being this unhappy person who pushes people away. anyone hear else? 3 long stories; tldr at the bottom."
bipolar,ptsd,1103,i can really use some encouragement right now.
ptsd,depression,1104,dae get tired of not being able to trust anything or anyone?
anxiety,depression,1116,anyone feels like they’re always being lied to?
bipolar,none,1117,"20,000 subscribers!!"
depression,ptsd,1118,do you guys feel it too?
depression,anxiety,1120,"after 2.5 years unemployed, i’ve finally landed myself a job!"
ptsd,bipolar,1123,how do i go from coping to healing?
bipolar,depression,1124,no kids for me
ptsd,bipolar,1125,my son was hospitalized last night
adhd,bipolar,1128,rambling post - what's wrong with me. why do i keep repeating this cycle of working well for a while then my performance dips ? why am i so inconstant?
bipolar,depression,1132,how i motivate myself to leave the house when i'm depressed and don't want to.
adhd,ptsd,1142,rejuvenate
ptsd,anxiety,1145,please help me find ways to cope while i'm saving up to go back to therapy
depression,adhd,1152,here's to devin
depression,anxiety,1154,anybody else feel like their losing their memory?
anxiety,depression,1158,made a phone call - didn't die.
depression,anxiety,1159,went to my first therapy appointment!!
anxiety,ptsd,1160,i'm about to confess to my crush and i'm shaking.
anxiety,adhd,1165,hey you. you don't need to do this alone.
adhd,bipolar,1168,difficulty expressing emotions?
depression,ptsd,1175,i hate how insensitive people can be
adhd,anxiety,1178,"tips on regulating emotions, specifically the ""cringe"" feeling?"
depression,bipolar,1179,i hate myself so much.
depression,none,1182,my colleagues have photos of their teenage years with their friends having fun or on holidays. i have screen caps of world of warcraft.
anxiety,bipolar,1187,anyone else wake up feeling nauseous?
bipolar,none,1188,anyone in boston want to meet up?
ptsd,depression,1197,after a bit of scrolling... i’m crying because reading some of these posts really make me feel validated and like i’m not alone.
bipolar,depression,1200,please take your medicine
ptsd,bipolar,1204,i can’t deal with it anymore
anxiety,bipolar,1207,weekend's over... time to go to work...
depression,bipolar,1217,a text my wife sent me that had me in tears
anxiety,ptsd,1223,today at therapy
adhd,anxiety,1235,when starting a new job do you work really well in the beginning and then after a while it just goes downhill?
anxiety,depression,1237,i'm better. like for real better.
bipolar,adhd,1239,i just found my old bowl &amp; a bag of blow... i don’t even want it
adhd,none,1240,dating experiments: a report on the latest failure
ptsd,anxiety,1241,took a huge step yesterday!
bipolar,ptsd,1243,"thanks dad, it's always nice to be reminded i'm a failure. [rant] [long]"
bipolar,ptsd,1244,therapy during episodes. what do you do and is it helpful?
anxiety,ptsd,1247,had a panic attack. inadvertently scared the shit out of my boyfriend and an entire convention. i've never been so humiliated before.
anxiety,depression,1257,i got a job today
adhd,anxiety,1261,finish it friday
bipolar,anxiety,1264,"challenging the negative self thought ""i am a failure."" do it with me?"
anxiety,bipolar,1267,have you ever self-sabotaged your own happiness?
bipolar,anxiety,1272,work?
anxiety,depression,1275,"i'm pathetic... i'm 25, no friends, living with my parents, struggling to finish school - i feel like i don't have any coping mechanisms anymore? anyone been here at my age?"
ptsd,bipolar,1278,"didn't realize how much i was numbing and escaping emotions with alcohol, until i quit drinking. it's been 6 months and the process is hell but i've already started to regain my life"
adhd,bipolar,1293,"i finished my first semester of college with a 2.3 gpa. my summer semester closed out yesterday, and i found out that i got a 4.0 for the first time in my life."
adhd,depression,1297,i cleaned my room and holy shit!
adhd,anxiety,1299,i did it! i freaking did it! i finished everything on my 'to-do' list!
adhd,bipolar,1301,my wife and i made a bad choice
adhd,bipolar,1308,"after over a month unemployed, i finally have a really promising interview this morning."
depression,anxiety,1313,"after 1 suicide attempt, and one overdose, i graduated!!!!"
anxiety,bipolar,1317,are you ok? leave your user name and i'll check in on you at least once this month and ask you how are you going.
bipolar,none,1320,do you have garbled speech?
ptsd,bipolar,1325,unable to form any relationships
depression,anxiety,1327,"love is dangerous, especially when you are mentally ill."
anxiety,bipolar,1329,does anyone else get dizziness and vertigo?
adhd,anxiety,1332,i constantly feel like i need to leave a good impression on people?
bipolar,ptsd,1333,anyone else have difficulty reading?
bipolar,ptsd,1336,can't believe i missed this tw: suicidal ideation
none,ptsd,1339,i can't find an explanation for this
bipolar,anxiety,1348,i’m jealous
anxiety,depression,1349,i finally went back outside
bipolar,depression,1351,i am so sick of the summits of false hope.
depression,ptsd,1355,i gave up on finding love
ptsd,bipolar,1356,"help please, husband always sneaking up on me"
anxiety,bipolar,1359,i quit my job.
adhd,depression,1360,i got a 3.48 gpa over my last five college classes!!!
adhd,depression,1361,don't you hate it when you lose track of what you were daydreaming about and can't get back to it
anxiety,bipolar,1364,realising how far i've come
depression,adhd,1365,"i write, rewrite, rethink, triple-think my threads and comments... and then i say 'nah, i have nothing good to say' and ditch them."
ptsd,bipolar,1369,i am not ok
ptsd,adhd,1371,loss of interest in everything.
bipolar,ptsd,1375,yay! paranoia!
anxiety,depression,1376,would anybody agree we need more positive posts on this subreddit?
ptsd,bipolar,1379,looking for understanding friends
none,anxiety,1380,i have aspergers and want to fly out to see my long distance boyfriend however i’ve never flown by myself before. my aspergers makes me worry unnecessarily and over think things. i’m wondering if you people can give me tips about flying?
anxiety,depression,1386,i finally got a job interview 😭
bipolar,none,1388,what do you say when you get to the e.r.?
anxiety,ptsd,1394,please help.
adhd,bipolar,1395,mt laundry
ptsd,anxiety,1396,how does everyone hold a job?
adhd,depression,1401,i wish i could just grab all of you and move to another planet
anxiety,depression,1406,yesterday i rented a car
anxiety,bipolar,1413,"hey, can i have a moment of your time?"
bipolar,ptsd,1417,i had two beers last night and lost my damn mind
adhd,bipolar,1421,couldn’t help crying while reading a post that made me realize how much i’ve learnt from all your contributions. thanks all for helping me understand myself a bit better every day.
depression,adhd,1424,i am 72 days free from heroin.
ptsd,none,1425,anyone else had to resort to online education or quit college because they cant concentrate in traditional classrooms?
adhd,anxiety,1426,in september i made a post about getting in to grad school. just finished my first semester with a 3.75 :)
bipolar,anxiety,1427,my husband is amazing
ptsd,depression,1432,there really are still good people in the world.
none,depression,1436,i arrived in japan with only $6 in my pocket and survived an entire day
adhd,bipolar,1443,shoutout to being medicated - even when i’m bad i’m still way less bad
adhd,ptsd,1446,last night i threw an apocalyptic adult tantrum... because my husband wouldn't signup for starbucks rewards. is this something i could improve through behavioral therapy?
bipolar,depression,1448,had a fun conversation at a bar
ptsd,anxiety,1455,therapist offered to look away and it worked
bipolar,depression,1457,"my father died today. or yesterday, maybe."
depression,adhd,1459,feel like depression has made me retarded
bipolar,depression,1460,i cleaned my room and did my laundry! 😃
bipolar,ptsd,1463,how do i get back my motivation?
ptsd,depression,1472,i cried several times today
bipolar,none,1473,aripiprazole (abilify) - worth it?
ptsd,bipolar,1474,i finally found some relief...
ptsd,none,1476,a strange and perhaps interesting question
bipolar,ptsd,1478,filmmaker seeking advice (mod approved)
ptsd,anxiety,1486,i hate everything
